Date1,Answer1,Interval,Ease factor,Time to answer1,Review type1,Date2,Answer2,Time to answer2,Review type2,Card ID
2020-07-07 13:04:10,4,3,2.5,3.121,Learn,2020-07-28 16:42:11,3,1.858,Review,1398801279248
2020-07-28 16:42:11,3,27,2.5,1.858,Review,2020-08-29 20:17:53,3,2.183,Review,1398801279248
2020-08-29 20:17:53,3,68,2.5,2.183,Review,2020-11-07 19:23:26,3,1.846,Review,1398801279248
2020-11-07 19:23:26,3,171,2.5,1.846,Review,2021-04-27 14:51:02,3,1.691,Review,1398801279248
2020-07-09 10:14:41,3,0.006944444444444444,0.0,3.543,Learn,2020-07-09 10:22:37,3,2.839,Learn,1398801279249
2020-07-09 10:22:37,3,1,2.5,2.839,Learn,2020-07-28 16:42:15,3,2.253,Review,1398801279249
2020-07-28 16:42:15,3,28,2.5,2.253,Review,2020-08-29 20:18:01,3,2.332,Review,1398801279249
2020-08-29 20:18:01,3,71,2.5,2.332,Review,2020-11-08 15:33:04,1,11.821,Review,1398801279249
2020-11-08 15:33:04,1,0.006944444444444444,2.3,11.821,Review,2020-11-08 15:33:17,3,2.931,Relearn,1398801279249
2020-11-08 15:33:17,3,1,2.3,2.931,Relearn,2020-11-09 09:17:25,3,3.437,Review,1398801279249
2020-11-09 09:17:25,3,3,2.3,3.437,Review,2020-11-12 14:21:21,3,3.658,Review,1398801279249
2020-11-12 14:21:21,3,5,2.3,3.658,Review,2020-11-17 14:22:34,3,8.097,Review,1398801279249
2020-11-17 14:22:34,3,12,2.3,8.097,Review,2020-11-18 09:31:16,3,4.26,Review,1398801279249
2020-11-18 09:31:16,3,10,2.3,4.26,Review,2020-11-28 10:29:48,1,10.553,Review,1398801279249
2020-11-28 10:29:48,1,0.006944444444444444,2.1,10.553,Review,2020-11-28 10:30:09,3,2.293,Relearn,1398801279249
2020-11-28 10:30:09,3,1,2.1,2.293,Relearn,2020-11-29 10:24:05,3,2.229,Review,1398801279249
2020-11-29 10:24:05,3,4,2.1,2.229,Review,2020-12-03 20:56:05,3,2.466,Review,1398801279249
2020-12-03 20:56:05,3,8,2.1,2.466,Review,2020-12-11 11:12:19,3,2.572,Review,1398801279249
2020-12-11 11:12:19,3,17,2.1,2.572,Review,2020-12-28 11:41:21,3,3.002,Review,1398801279249
2020-12-28 11:41:21,3,37,2.1,3.002,Review,2021-02-05 21:01:21,3,5.914,Review,1398801279249
2021-02-05 21:01:21,3,80,2.1,5.914,Review,2021-04-26 19:52:07,1,4.334,Review,1398801279249
2021-04-26 19:52:07,1,0.006944444444444444,1.9,4.334,Review,2021-04-26 19:52:24,3,1.635,Relearn,1398801279249
2021-04-26 19:52:24,3,1,1.9,1.635,Relearn,2021-04-27 14:51:08,3,1.409,Review,1398801279249
2021-04-27 14:51:08,3,2,1.9,1.409,Review,2021-04-29 22:08:52,3,2.902,Review,1398801279249
2021-04-29 22:08:52,3,5,1.9,2.902,Review,2021-05-04 15:34:24,3,1.559,Review,1398801279249
2021-05-04 15:34:24,3,11,1.9,1.559,Review,2021-05-15 09:07:14,3,1.749,Review,1398801279249
2021-05-15 09:07:14,3,21,1.9,1.749,Review,2021-06-05 20:46:52,3,1.662,Review,1398801279249
2021-06-05 20:46:52,3,38,1.9,1.662,Review,2021-07-14 22:14:01,3,1.786,Review,1398801279249
2021-07-14 22:14:01,3,73,1.9,1.786,Review,2021-09-27 08:46:17,3,1.766,Review,1398801279249
2020-07-08 14:32:29,1,0.0006944444444444445,0.0,5.041,Learn,2020-07-08 14:33:52,1,12.762,Learn,1398801279250
2020-07-08 14:33:52,1,0.0006944444444444445,0.0,12.762,Learn,2020-07-08 14:35:26,1,31.823,Learn,1398801279250
2020-07-08 14:35:26,1,0.0006944444444444445,0.0,31.823,Learn,2020-07-08 14:37:08,3,3.568,Learn,1398801279250
2020-07-08 14:37:08,3,0.006944444444444444,0.0,3.568,Learn,2020-07-08 14:42:41,3,6.886,Learn,1398801279250
2020-07-08 14:42:41,3,1,2.5,6.886,Learn,2020-07-17 09:37:02,1,5.423,Review,1398801279250
2020-07-17 09:37:02,1,0.006944444444444444,2.3,5.423,Review,2020-07-17 09:37:20,3,2.331,Relearn,1398801279250
2020-07-17 09:37:20,3,1,2.3,2.331,Relearn,2020-08-06 09:42:23,1,2.486,Review,1398801279250
2020-08-06 09:42:23,1,0.006944444444444444,2.1,2.486,Review,2020-08-06 09:46:45,1,2.22,Relearn,1398801279250
2020-08-06 09:46:45,1,0.006944444444444444,2.1,2.22,Relearn,2020-08-06 09:50:14,3,2.488,Relearn,1398801279250
2020-08-06 09:50:14,3,1,2.1,2.488,Relearn,2020-08-08 11:11:44,1,4.143,Review,1398801279250
2020-08-08 11:11:44,1,0.006944444444444444,1.9,4.143,Review,2020-08-08 11:12:34,3,2.939,Relearn,1398801279250
2020-08-08 11:12:34,3,1,1.9,2.939,Relearn,2020-08-14 18:17:58,1,4.187,Review,1398801279250
2020-08-14 18:17:58,1,0.006944444444444444,1.7,4.187,Review,2020-08-14 18:21:17,3,4.677,Relearn,1398801279250
2020-08-14 18:21:17,3,1,1.7,4.677,Relearn,2020-08-20 10:23:07,1,10.075,Review,1398801279250
2020-08-20 10:23:07,1,0.006944444444444444,1.5,10.075,Review,2020-08-20 10:23:30,3,3.323,Relearn,1398801279250
2020-08-20 10:23:30,3,1,1.5,3.323,Relearn,2020-08-21 13:36:32,1,6.306,Review,1398801279250
2020-08-21 13:36:32,1,0.006944444444444444,1.3,6.306,Review,2020-08-21 13:38:02,3,2.504,Relearn,1398801279250
2020-08-21 13:38:02,3,1,1.3,2.504,Relearn,2020-08-29 20:10:59,3,5.146,Review,1398801279250
2020-08-29 20:10:59,3,5,1.3,5.146,Review,2020-09-07 09:40:51,1,6.895,Review,1398801279250
2020-09-07 09:40:51,1,0.006944444444444444,1.3,6.895,Review,2020-09-07 09:41:07,3,1.593,Relearn,1398801279250
2020-09-07 09:41:07,3,1,1.3,1.593,Relearn,2020-09-09 00:24:56,1,4.041,Review,1398801279250
2020-09-09 00:24:56,1,1,1.3,4.041,Review,2021-01-27 14:14:40,1,11.376,Review,1398801279250
2021-01-27 14:14:40,1,0.006944444444444444,1.3,11.376,Review,2021-01-27 14:16:33,3,2.174,Relearn,1398801279250
2021-01-27 14:16:33,3,1,1.3,2.174,Relearn,2021-01-31 13:29:51,3,15.869,Review,1398801279250
2021-01-31 13:29:51,3,3,1.3,15.869,Review,2021-02-05 21:01:45,3,6.571,Review,1398801279250
2021-02-05 21:01:45,3,5,1.3,6.571,Review,2021-02-10 11:39:24,3,6.498,Review,1398801279250
2021-02-10 11:39:24,3,8,1.3,6.498,Review,2021-02-19 21:45:41,3,11.184,Review,1398801279250
2021-02-19 21:45:41,3,12,1.3,11.184,Review,2021-03-03 10:34:35,3,5.449,Review,1398801279250
2021-03-03 10:34:35,3,13,1.3,5.449,Review,2021-03-16 12:13:47,3,7.09,Review,1398801279250
2021-03-16 12:13:47,3,15,1.3,7.09,Review,2021-03-31 06:00:13,1,3.474,Review,1398801279250
2021-03-31 06:00:13,1,0.006944444444444444,1.3,3.474,Review,2021-03-31 06:00:40,3,3.049,Relearn,1398801279250
2021-03-31 06:00:40,3,1,1.3,3.049,Relearn,2021-04-01 05:37:37,3,2.776,Review,1398801279250
2021-04-01 05:37:37,3,2,1.3,2.776,Review,2021-04-03 17:47:29,3,2.188,Review,1398801279250
2021-04-03 17:47:29,3,4,1.3,2.188,Review,2021-04-07 08:20:56,1,4.389,Review,1398801279250
2021-04-07 08:20:56,1,0.006944444444444444,1.3,4.389,Review,2021-04-07 08:21:24,3,2.367,Relearn,1398801279250
2021-04-07 08:21:24,3,1,1.3,2.367,Relearn,2021-04-09 00:24:07,3,3.903,Review,1398801279250
2021-04-09 00:24:07,3,2,1.3,3.903,Review,2021-04-10 10:13:35,3,5.324,Review,1398801279250
2021-04-10 10:13:35,3,3,1.3,5.324,Review,2021-04-13 10:40:16,1,7.265,Review,1398801279250
2020-07-09 10:13:59,3,0.006944444444444444,0.0,3.885,Learn,2020-07-09 10:22:07,3,3.348,Learn,1398801279251
2020-07-09 10:22:07,3,1,2.5,3.348,Learn,2020-07-28 16:42:17,3,2.29,Review,1398801279251
2020-07-28 16:42:17,3,22,2.5,2.29,Review,2020-08-21 13:36:06,1,4.15,Review,1398801279251
2020-08-21 13:36:06,1,0.006944444444444444,2.3,4.15,Review,2020-08-21 13:37:38,3,2.237,Relearn,1398801279251
2020-08-21 13:37:38,3,1,2.3,2.237,Relearn,2020-08-29 20:10:29,1,3.132,Review,1398801279251
2020-08-29 20:10:29,1,0.006944444444444444,2.1,3.132,Review,2020-08-29 20:12:09,3,2.221,Relearn,1398801279251
2020-08-29 20:12:09,3,1,2.1,2.221,Relearn,2020-08-31 21:25:23,1,5.197,Review,1398801279251
2020-08-31 21:25:23,1,0.006944444444444444,1.9,5.197,Review,2020-08-31 21:27:30,3,1.931,Relearn,1398801279251
2020-08-31 21:27:30,3,1,1.9,1.931,Relearn,2020-09-01 18:37:08,3,4.904,Review,1398801279251
2020-09-01 18:37:08,3,2,1.9,4.904,Review,2020-09-07 09:40:17,3,5.211,Review,1398801279251
2020-09-07 09:40:17,3,5,1.9,5.211,Review,2020-09-15 16:26:16,3,2.558,Review,1398801279251
2020-09-15 16:26:16,3,10,1.9,2.558,Review,2020-10-03 20:48:14,3,6.0,Review,1398801279251
2020-10-03 20:48:14,3,29,1.9,6.0,Review,2020-11-06 10:41:45,3,3.755,Review,1398801279251
2020-11-06 10:41:45,3,62,1.9,3.755,Review,2021-01-07 08:21:20,3,5.521,Review,1398801279251
2021-01-07 08:21:20,3,115,1.9,5.521,Review,2021-05-02 08:16:03,3,2.899,Review,1398801279251
2021-05-02 08:16:03,3,223,1.9,2.899,Review,2021-12-14 10:57:02,3,4.02,Review,1398801279251
2020-07-07 13:04:28,1,0.0006944444444444445,0.0,5.894,Learn,2020-07-07 13:46:30,3,3.915,Learn,1398801279252
2020-07-07 13:46:30,3,0.006944444444444444,0.0,3.915,Learn,2020-07-07 13:50:36,3,4.95,Learn,1398801279252
2020-07-07 13:50:36,3,1,2.5,4.95,Learn,2020-07-11 14:22:25,3,3.719,Review,1398801279252
2020-07-11 14:22:25,3,4,2.5,3.719,Review,2020-08-06 09:32:12,3,5.49,Review,1398801279252
2020-08-06 09:32:12,3,33,2.5,5.49,Review,2020-09-09 00:25:23,1,3.542,Review,1398801279252
2020-09-09 00:25:23,1,0.006944444444444444,2.3,3.542,Review,2020-09-09 00:25:37,1,3.363,Relearn,1398801279252
2020-09-09 00:25:37,1,0.006944444444444444,2.3,3.363,Relearn,2020-09-09 00:25:41,3,1.267,Relearn,1398801279252
